uc009vfm.1	ENSMUST00000163671
uc007xbi.1	ENSMUST00000171496
uc007xbj.1	ENSMUST00000171496
uc011zxe.1	ENSMUST00000171496
uc007xbo.1	ENSMUST00000016589
uc007xbp.2	ENSMUST00000144169
uc007xbq.1	ENSMUST00000143592
uc007xbr.1	ENSMUST00000016589
uc007xbs.1	ENSMUST00000082365
uc007xbt.1	ENSMUST00000082365
uc007xbu.1	ENSMUST00000019012
uc007xbv.1	ENSMUST00000019012
uc007xca.2	ENSMUST00000080751
uc007xcb.2	ENSMUST00000080751
uc007xcc.1	ENSMUST00000069476
uc007xcm.2	ENSMUST00000016768
uc007xco.2	ENSMUST00000089001
uc011zxh.1	ENSMUST00000089001
uc007xcl.1	ENSMUST00000016768
uc007xcr.1	ENSMUST00000165743
uc011zxj.1	ENSMUST00000116791
uc007xcx.1	ENSMUST00000023068
uc007xde.2	ENSMUST00000109424
uc011zxl.1	ENSMUST00000167968
uc007xdf.2	ENSMUST00000023015
uc007xdg.2	ENSMUST00000165521
uc007xdl.2	ENSMUST00000071876
uc011zxo.1	ENSMUST00000071876
uc011zxp.1	ENSMUST00000071876
uc007xdm.1	ENSMUST00000064370
uc007xdt.1	ENSMUST00000016172
uc007xdu.1	ENSMUST00000016172
uc007xdx.2	ENSMUST00000150767
uc007xdy.2	ENSMUST00000044332
uc007xei.2	ENSMUST00000109381
uc007xej.2	ENSMUST00000109381
uc007xek.2	ENSMUST00000109381
uc007xel.2	ENSMUST00000088911
uc007xeo.2	ENSMUST00000162183
uc007xen.2	ENSMUST00000162183
uc007xer.1	ENSMUST00000172019
uc007xes.2	ENSMUST00000172019
uc007xet.2	ENSMUST00000023023
uc007xeu.2	ENSMUST00000023023
uc007xev.1	ENSMUST00000042594
uc007xew.1	ENSMUST00000109368
uc007xfb.1	ENSMUST00000150364
uc007xfg.1	ENSMUST00000164717
uc007xfh.2	ENSMUST00000109353
uc007xfk.2	ENSMUST00000082197
uc007xfj.2	ENSMUST00000082197
uc007xfm.1	ENSMUST00000088827
uc007xfl.2	ENSMUST00000088827
uc007xfn.1	ENSMUST00000088827
uc007xfo.2	ENSMUST00000088827
uc007xfp.2	ENSMUST00000088823
uc007xfq.1	ENSMUST00000109331
uc011zxs.1	ENSMUST00000060808
uc007xfr.1	ENSMUST00000171911
uc007xfs.1	ENSMUST00000078953
uc007xft.1	ENSMUST00000078953
uc011zxu.1	ENSMUST00000123791
uc007xfz.1	ENSMUST00000123791
uc007xga.1	ENSMUST00000123791
uc007xgf.2	ENSMUST00000023283
uc007xgd.2	ENSMUST00000023283
uc011zxv.1	ENSMUST00000023283
uc007xge.2	ENSMUST00000023283
uc007xgl.2	ENSMUST00000023285
uc007xgm.1	ENSMUST00000049968
uc007xgn.1	ENSMUST00000049968
uc007xgo.2	ENSMUST00000109314
uc007xgp.2	ENSMUST00000167959
uc007xgr.1	ENSMUST00000109313
uc007xgv.2	ENSMUST00000170334
uc007xgs.2	ENSMUST00000023289
uc007xgt.2	ENSMUST00000170334
uc007xgu.2	ENSMUST00000170334
uc007xgy.2	ENSMUST00000165199
uc007xhd.1	ENSMUST00000023294
uc007xhe.1	ENSMUST00000165747
uc007xhf.1	ENSMUST00000023294
uc007xhg.1	ENSMUST00000023294
uc007xhh.1	ENSMUST00000163376
uc007xhi.2	ENSMUST00000029441
uc007xhn.1	ENSMUST00000064391
uc007xho.1	ENSMUST00000064391
uc007xhp.1	ENSMUST00000014777
uc007xhr.2	ENSMUST00000109289
uc007xhs.2	ENSMUST00000088614
uc007xhu.2	ENSMUST00000067205
uc007xhv.2	ENSMUST00000109287
uc007xht.2	ENSMUST00000109288
uc007xhx.1	ENSMUST00000069511
uc007xhy.2	ENSMUST00000036723
uc007xiq.1	ENSMUST00000049484
uc011zyf.1	ENSMUST00000049484
uc007xir.2	ENSMUST00000133736
uc007xit.2	ENSMUST00000133736
uc007xis.2	ENSMUST00000133736
uc007xiu.1	ENSMUST00000076070
uc007xiv.1	ENSMUST00000162160
uc007xiw.1	ENSMUST00000161409
uc007xja.1	ENSMUST00000109255
uc007xjb.1	ENSMUST00000048982
uc007xjc.1	ENSMUST00000048982
uc007xjd.1	ENSMUST00000109255
uc007xje.2	ENSMUST00000035342
uc007xjf.2	ENSMUST00000155907
uc007xjg.2	ENSMUST00000129195
uc007xjh.2	ENSMUST00000049151
uc007xji.2	ENSMUST00000147832
uc007xjl.1	ENSMUST00000023087
uc007xjo.2	ENSMUST00000023090
uc007xjp.2	ENSMUST00000023090
uc007xjq.1	ENSMUST00000166170
uc007xjr.1	ENSMUST00000166170
uc007xjs.1	ENSMUST00000054244
uc007xjw.1	ENSMUST00000168960
uc007xjx.1	ENSMUST00000139808
uc007xjy.1	ENSMUST00000140253
uc011zyh.1	ENSMUST00000140253
uc007xjz.1	ENSMUST00000135118
uc007xka.1	ENSMUST00000129634
uc007xkb.1	ENSMUST00000139409
uc011zyj.1	ENSMUST00000135118
uc007xke.1	ENSMUST00000047835
uc007xkf.1	ENSMUST00000047835
uc007xkh.2	ENSMUST00000100262
uc007xki.2	ENSMUST00000088454
uc007xkj.2	ENSMUST00000088452
uc007xkk.2	ENSMUST00000088454
uc007xkl.2	ENSMUST00000088454
uc007xkm.1	ENSMUST00000023099
uc007xkn.1	ENSMUST00000023099
uc007xko.1	ENSMUST00000023101
uc007xkp.1	ENSMUST00000023101
uc007xkq.1	ENSMUST00000023101
uc007xkr.1	ENSMUST00000023101
uc011zyk.1	ENSMUST00000053106
uc007xks.2	ENSMUST00000053106
uc011zyl.1	ENSMUST00000053106
uc007xkv.1	ENSMUST00000023104
uc007xkw.1	ENSMUST00000023105
uc007xkx.1	ENSMUST00000023105
uc007xky.2	ENSMUST00000100249
uc007xkz.2	ENSMUST00000129223
uc007xla.2	ENSMUST00000129223
uc011zym.1	ENSMUST00000128775
uc011zyn.1	ENSMUST00000151334
uc007xld.1	ENSMUST00000121514
uc007xle.1	ENSMUST00000088402
uc007xlf.1	ENSMUST00000171575
uc007xlg.1	ENSMUST00000171575
uc007xlh.1	ENSMUST00000116409
uc007xli.1	ENSMUST00000116408
uc007xlj.1	ENSMUST00000116408
uc011zyo.1	ENSMUST00000116408
uc007xlk.1	ENSMUST00000023119
uc007xlp.2	ENSMUST00000023123
uc007xlq.2	ENSMUST00000023123
uc007xlr.2	ENSMUST00000044189
uc007xls.2	ENSMUST00000044189
uc007xlt.2	ENSMUST00000044189
uc007xlu.2	ENSMUST00000044189
uc007xlx.2	ENSMUST00000143400
uc007xly.2	ENSMUST00000143400
uc011zyr.1	ENSMUST00000143400
uc007xma.1	ENSMUST00000165379
uc007xmb.2	ENSMUST00000088331
uc011zyt.1	ENSMUST00000170618
uc007xmc.2	ENSMUST00000145768
uc011zyu.1	ENSMUST00000073612
uc007xmd.2	ENSMUST00000060855
uc007xme.1	ENSMUST00000169721
uc007xmf.1	ENSMUST00000023722
uc007xmg.1	ENSMUST00000079736
uc007xmh.1	ENSMUST00000063289
uc007xmi.1	ENSMUST00000057386
uc007xmo.1	ENSMUST00000023726
uc007xmq.1	ENSMUST00000023727
uc007xmr.1	ENSMUST00000116400
uc007xms.1	ENSMUST00000116400
uc011zyv.1	ENSMUST00000116400
uc007xmt.1	ENSMUST00000116400
uc007xmu.1	ENSMUST00000116400
uc011zyw.1	ENSMUST00000083402
uc011zyx.1	ENSMUST00000084005
uc007xmv.1	ENSMUST00000169707
uc007xmw.1	ENSMUST00000130921
uc011zyy.1	ENSMUST00000096224
uc011zyz.1	ENSMUST00000096224
uc007xmz.1	ENSMUST00000096224
uc007xna.1	ENSMUST00000096224
uc007xne.1	ENSMUST00000003450
uc007xnf.1	ENSMUST00000160506
uc007xng.1	ENSMUST00000160506
uc007xnh.1	ENSMUST00000109149
uc007xni.1	ENSMUST00000003451
uc007xnj.1	ENSMUST00000120997
uc007xnm.1	ENSMUST00000003445
uc007xnn.1	ENSMUST00000003445
uc007xno.1	ENSMUST00000003445
uc007xnp.1	ENSMUST00000053183
uc007xnr.2	ENSMUST00000129354
uc007xns.2	ENSMUST00000023732
uc007xnt.2	ENSMUST00000023732
uc007xnu.2	ENSMUST00000023732
uc007xnv.2	ENSMUST00000023732
uc007xnw.2	ENSMUST00000023732
uc007xny.1	ENSMUST00000075444
uc007xoa.1	ENSMUST00000168846
uc007xoc.2	ENSMUST00000023741
uc011zzb.1	ENSMUST00000024518
uc007xoh.2	ENSMUST00000023737
uc007xoi.1	ENSMUST00000023736
uc007xoj.1	ENSMUST00000077577
uc007xok.1	ENSMUST00000097014
uc007xot.1	ENSMUST00000064462
uc007xpa.2	ENSMUST00000163506
uc007xpb.2	ENSMUST00000041190
uc007xpc.2	ENSMUST00000163506
uc007xpd.1	ENSMUST00000163506
uc007xpf.1	ENSMUST00000109100
uc007xpj.1	ENSMUST00000088233
uc007xpk.1	ENSMUST00000088233
uc007xpl.1	ENSMUST00000088233
uc007xpn.1	ENSMUST00000023747
uc007xpo.2	ENSMUST00000040313
uc007xpp.1	ENSMUST00000023750
uc007xpq.1	ENSMUST00000023750
uc007xpr.1	ENSMUST00000023750
uc007xpx.1	ENSMUST00000171702
uc007xpy.1	ENSMUST00000171702
uc007xpz.1	ENSMUST00000171702
uc007xqf.1	ENSMUST00000023762
uc007xqg.1	ENSMUST00000109035
uc007xqh.2	ENSMUST00000109024
uc007xqi.2	ENSMUST00000073691
uc007xqj.2	ENSMUST00000062631
uc007xqk.1	ENSMUST00000100209
uc007xrc.2	ENSMUST00000023774
uc011zzk.1	ENSMUST00000023774
uc007xrd.2	ENSMUST00000138843
uc011zzl.1	ENSMUST00000123461
uc007xre.1	ENSMUST00000074905
uc007xrk.1	ENSMUST00000061457
uc007xrl.1	ENSMUST00000009877
uc011zzo.1	ENSMUST00000009877
uc007xrm.1	ENSMUST00000100199
uc007xrn.1	ENSMUST00000100199
uc007xro.1	ENSMUST00000073837
uc007xrp.1	ENSMUST00000073837
uc007xrq.1	ENSMUST00000073837
uc007xrr.1	ENSMUST00000073837
uc007xrs.1	ENSMUST00000165107
uc007xru.1	ENSMUST00000066068
uc007xrv.1	ENSMUST00000172334
uc007xrw.1	ENSMUST00000100198
uc007xrx.2	ENSMUST00000023775
uc007xry.2	ENSMUST00000023775
uc007xrz.2	ENSMUST00000159715
uc007xsb.2	ENSMUST00000052069
uc007xsa.2	ENSMUST00000159715
uc007xss.1	ENSMUST00000137371
uc007xst.1	ENSMUST00000137371
uc007xsz.1	ENSMUST00000163976
uc007xta.1	ENSMUST00000077196
uc007xtb.1	ENSMUST00000077196
uc007xtc.1	ENSMUST00000077196
uc007xte.2	ENSMUST00000081945
uc007xtf.2	ENSMUST00000081945
uc007xth.2	ENSMUST00000061185
uc007xtj.2	ENSMUST00000023718
uc007xtl.1	ENSMUST00000100184
uc007xtm.2	ENSMUST00000023720
uc007xtn.2	ENSMUST00000023713
uc007xto.1	ENSMUST00000023714
uc007xtp.1	ENSMUST00000042957
uc007xts.1	ENSMUST00000062879
uc007xtu.1	ENSMUST00000023786
uc007xtv.1	ENSMUST00000023788
uc007xtw.1	ENSMUST00000023709
uc007xtx.1	ENSMUST00000023710
uc011zzt.1	ENSMUST00000088018
uc011zzu.1	ENSMUST00000088018
uc007xtz.1	ENSMUST00000071104
uc007xua.1	ENSMUST00000063292
uc007xub.1	ENSMUST00000023712
uc007xuc.1	ENSMUST00000023790
uc007xud.1	ENSMUST00000087996
uc007xue.1	ENSMUST00000100179
uc007xuf.1	ENSMUST00000023797
uc007xug.1	ENSMUST00000023799
uc007xuh.1	ENSMUST00000164932
uc011zzv.1	ENSMUST00000164932
uc007xui.1	ENSMUST00000023952
uc011zzy.1	ENSMUST00000154032
uc007xur.2	ENSMUST00000139279
uc007xuu.1	ENSMUST00000023805
uc007xuv.1	ENSMUST00000023805
uc012aaa.1	ENSMUST00000001327
uc007xvc.1	ENSMUST00000063339
uc007xvd.1	ENSMUST00000043172
uc007xvk.2	ENSMUST00000041208
uc007xvl.2	ENSMUST00000041208
uc007xvm.1	ENSMUST00000078508
uc007xvn.1	ENSMUST00000078508
uc007xwc.2	ENSMUST00000023812
uc007xwe.2	ENSMUST00000023812
uc007xwd.2	ENSMUST00000023812
uc007xwj.1	ENSMUST00000023814
uc007xwk.1	ENSMUST00000169716
uc007xwl.1	ENSMUST00000169716
uc007xwm.1	ENSMUST00000064254
uc007xwn.1	ENSMUST00000064254
uc007xwo.1	ENSMUST00000108828
uc007xwp.1	ENSMUST00000108828
uc007xwr.1	ENSMUST00000075630
uc012aad.1	ENSMUST00000102055
uc007xws.2	ENSMUST00000023818
uc007xwt.2	ENSMUST00000171838
uc007xwx.1	ENSMUST00000151949
uc007xxh.1	ENSMUST00000064067
uc007xxi.1	ENSMUST00000064067
uc007xxj.1	ENSMUST00000064067
uc007xxk.1	ENSMUST00000064067
uc007xxm.1	ENSMUST00000118152
uc007xxl.1	ENSMUST00000118152
uc007xxn.1	ENSMUST00000118152
uc007xxo.1	ENSMUST00000118152
uc007xxu.1	ENSMUST00000075192
uc007xxy.1	ENSMUST00000079824
uc007xxz.1	ENSMUST00000165346
uc007xya.1	ENSMUST00000168828
uc007xyb.2	ENSMUST00000023128
uc007xyc.2	ENSMUST00000023128
uc007xyd.2	ENSMUST00000023129
uc007xye.1	ENSMUST00000065978
uc007xyj.1	ENSMUST00000023133
uc007xyk.1	ENSMUST00000023134
uc012aal.1	ENSMUST00000023134
uc007sam.2	ENSMUST00000166494
uc011zfb.1	ENSMUST00000166494
uc011zfc.1	ENSMUST00000112820
uc007san.1	ENSMUST00000166494
uc007sao.1	ENSMUST00000096177
uc007saq.1	ENSMUST00000170258
uc007sar.1	ENSMUST00000169218
uc007sas.1	ENSMUST00000112816
uc007sat.1	ENSMUST00000112816
uc007sau.1	ENSMUST00000168543
uc007sav.1	ENSMUST00000112812
uc007saw.1	ENSMUST00000170258
uc007sax.1	ENSMUST00000166614
uc011zfd.1	ENSMUST00000166363
uc007sba.2	ENSMUST00000170053
uc007sbb.1	ENSMUST00000169281
uc007sbc.1	ENSMUST00000112807
uc007sbd.1	ENSMUST00000165585
uc011zfe.1	ENSMUST00000112802
uc007sbe.2	ENSMUST00000167430
uc007sbf.1	ENSMUST00000167430
uc007sbg.1	ENSMUST00000112797
uc007sbh.1	ENSMUST00000170480
uc007sbi.1	ENSMUST00000112792
uc007sbj.1	ENSMUST00000164512
uc007sbk.1	ENSMUST00000096184
uc007sbl.1	ENSMUST00000096184
uc007sbm.1	ENSMUST00000170207
uc007sbn.1	ENSMUST00000164512
uc007sbo.1	ENSMUST00000164603
uc007sbp.1	ENSMUST00000112784
uc007sbq.1	ENSMUST00000165466
uc007sbr.1	ENSMUST00000171803
uc007sbs.1	ENSMUST00000164603
uc007sbu.1	ENSMUST00000165619
uc007sbw.1	ENSMUST00000167821
uc007sbx.2	ENSMUST00000170738
uc011zff.1	ENSMUST00000166776
uc007sby.1	ENSMUST00000166410
uc007sbz.1	ENSMUST00000165289
uc007sca.2	ENSMUST00000112770
uc007scb.1	ENSMUST00000163719
uc007scd.2	ENSMUST00000170738
uc011zfg.1	ENSMUST00000166492
uc007sce.1	ENSMUST00000166492
uc007scf.1	ENSMUST00000090663
uc007scm.1	ENSMUST00000170738
uc011zfi.1	ENSMUST00000170738
uc007sco.1	ENSMUST00000090661
uc007scp.1	ENSMUST00000169675
uc007scw.1	ENSMUST00000090673
uc011zfj.1	ENSMUST00000090673
uc007sdc.1	ENSMUST00000095970
uc011zfn.1	ENSMUST00000095970
uc007sdd.1	ENSMUST00000171676
uc007sde.1	ENSMUST00000171676
uc007sdf.2	ENSMUST00000112728
uc007sdg.2	ENSMUST00000170123
uc007sdj.1	ENSMUST00000165508
uc007see.1	ENSMUST00000163303
uc007sej.1	ENSMUST00000052678
uc007sek.1	ENSMUST00000052678
uc007sel.1	ENSMUST00000052678
uc007sen.1	ENSMUST00000166497
uc007seo.1	ENSMUST00000166497
uc007sep.1	ENSMUST00000166497
uc011zfu.1	ENSMUST00000166497
uc007seq.2	ENSMUST00000023924
uc007ser.2	ENSMUST00000036682
uc007ses.2	ENSMUST00000112689
uc007set.2	ENSMUST00000036682
uc011zfv.1	ENSMUST00000036682
uc007seu.2	ENSMUST00000036682
uc011zfw.1	ENSMUST00000022272
uc007sex.2	ENSMUST00000170111
uc007sfg.1	ENSMUST00000156327
uc007sfh.1	ENSMUST00000156327
uc007sfi.1	ENSMUST00000156327
uc011zfy.1	ENSMUST00000162462
uc007sfl.1	ENSMUST00000148113
uc007sfm.2	ENSMUST00000022264
uc011zfz.1	ENSMUST00000022264
uc007sfn.2	ENSMUST00000022264
uc007sfo.1	ENSMUST00000112669
uc007sfp.1	ENSMUST00000163392
uc007sfq.1	ENSMUST00000163392
uc007sfr.1	ENSMUST00000163392
uc007sfy.2	ENSMUST00000070323
uc007sfz.2	ENSMUST00000145700
uc007sga.2	ENSMUST00000147677
uc007sgb.2	ENSMUST00000112656
uc007sgc.1	ENSMUST00000061045
uc007sgd.1	ENSMUST00000159275
uc007sgi.2	ENSMUST00000022257
uc007sgl.1	ENSMUST00000100872
uc007sgm.1	ENSMUST00000090591
uc011zgb.1	ENSMUST00000090591
uc011zgc.1	ENSMUST00000112638
uc007sgn.1	ENSMUST00000057015
uc007sgo.1	ENSMUST00000090583
uc007sgp.1	ENSMUST00000057015
uc011zgd.1	ENSMUST00000057015
uc011zge.1	ENSMUST00000057015
uc007sgq.1	ENSMUST00000164548
uc011zgf.1	ENSMUST00000057015
uc011zgg.1	ENSMUST00000057015
uc007sgr.2	ENSMUST00000074344
uc011zgh.1	ENSMUST00000112631
uc007sgs.2	ENSMUST00000134866
uc007sgv.1	ENSMUST00000168803
uc007sgy.1	ENSMUST00000153109
uc007sgz.1	ENSMUST00000022310
uc007sha.1	ENSMUST00000022310
uc007shb.1	ENSMUST00000022310
uc007shc.1	ENSMUST00000017629
uc007shd.1	ENSMUST00000017629
uc007shk.2	ENSMUST00000091471
uc007shl.2	ENSMUST00000091471
uc007sho.2	ENSMUST00000022304
uc007shs.1	ENSMUST00000132374
uc007sht.1	ENSMUST00000132374
uc007shy.1	ENSMUST00000167577
uc007sib.1	ENSMUST00000167151
uc007sit.1	ENSMUST00000022340
uc007siu.1	ENSMUST00000022340
uc011zgj.1	ENSMUST00000022340
uc011zgk.1	ENSMUST00000022340
uc011zgm.1	ENSMUST00000022343
uc007sjb.1	ENSMUST00000022343
uc007sjc.1	ENSMUST00000022343
uc007sjd.1	ENSMUST00000022343
uc011zgn.1	ENSMUST00000022343
uc007sje.1	ENSMUST00000022343
uc007sjf.1	ENSMUST00000074699
uc007sjh.1	ENSMUST00000116507
uc007sji.2	ENSMUST00000037698
uc007sjj.1	ENSMUST00000090499
uc007sjk.1	ENSMUST00000090503
uc007sjl.1	ENSMUST00000051915
uc011zgp.1	ENSMUST00000090503
uc007ska.1	ENSMUST00000141265
uc007skh.2	ENSMUST00000090462
uc007skg.2	ENSMUST00000048657
uc007skj.1	ENSMUST00000090462
uc007skk.1	ENSMUST00000048016
uc007skl.1	ENSMUST00000048016
uc007skm.2	ENSMUST00000071215
uc007skn.2	ENSMUST00000071215
uc007sko.1	ENSMUST00000022358
uc007skr.2	ENSMUST00000022358
uc007skp.1	ENSMUST00000164682
uc007skq.1	ENSMUST00000112490
uc007skx.2	ENSMUST00000022368
uc011zgu.1	ENSMUST00000022368
uc007sky.1	ENSMUST00000022369
uc007skz.1	ENSMUST00000022369
uc007slb.1	ENSMUST00000045376
uc007slc.1	ENSMUST00000045376
uc007sld.1	ENSMUST00000045376
uc007sle.1	ENSMUST00000045376
uc007slf.1	ENSMUST00000069648
uc007slg.1	ENSMUST00000069648
uc007slh.1	ENSMUST00000096222
uc007sli.1	ENSMUST00000096222
uc007slj.1	ENSMUST00000096222
uc007slk.1	ENSMUST00000069648
uc007slp.1	ENSMUST00000119430
uc007slq.1	ENSMUST00000119430
uc007slr.1	ENSMUST00000119430
uc007sls.1	ENSMUST00000022293
uc007slu.1	ENSMUST00000169054
uc007slz.2	ENSMUST00000075639
uc007sly.1	ENSMUST00000162337
uc007sma.2	ENSMUST00000162540
uc007sqi.1	ENSMUST00000163055
uc007sqj.1	ENSMUST00000162224
uc007sqk.1	ENSMUST00000041413
uc007sra.1	ENSMUST00000166066
uc007srb.1	ENSMUST00000166066
uc007src.1	ENSMUST00000169826
uc007srd.1	ENSMUST00000169826
uc007sre.1	ENSMUST00000169826
uc007srg.1	ENSMUST00000159744
uc007srh.1	ENSMUST00000159562
uc007srm.1	ENSMUST00000159766
uc007srn.1	ENSMUST00000162645
uc007sro.1	ENSMUST00000007961
uc011zhn.1	ENSMUST00000175340
uc007srp.1	ENSMUST00000159766
uc007srq.1	ENSMUST00000007961
uc007srr.1	ENSMUST00000022419
uc007sru.2	ENSMUST00000112364
uc007srv.2	ENSMUST00000022416
uc007srz.1	ENSMUST00000061593
uc007ssa.2	ENSMUST00000049793
uc007ssg.1	ENSMUST00000163305
uc011zhp.1	ENSMUST00000172038
uc007ssh.2	ENSMUST00000100810
uc007ssn.1	ENSMUST00000168149
uc011zhq.1	ENSMUST00000112340
uc011zhr.1	ENSMUST00000100804
uc007ssp.1	ENSMUST00000059648
uc007ssv.1	ENSMUST00000037585
uc007ssw.2	ENSMUST00000037585
uc007ssx.2	ENSMUST00000037585
uc007ssy.2	ENSMUST00000037585
uc007sta.1	ENSMUST00000022429
uc007stc.1	ENSMUST00000022433
uc007std.1	ENSMUST00000073309
uc007ste.1	ENSMUST00000100792
uc011zht.1	ENSMUST00000165929
uc011zhu.1	ENSMUST00000090337
uc007stj.1	ENSMUST00000035433
uc007stk.1	ENSMUST00000035336
uc007stl.1	ENSMUST00000035336
uc007stm.1	ENSMUST00000170066
uc007stn.1	ENSMUST00000035336
uc007sto.1	ENSMUST00000049206
uc007stp.1	ENSMUST00000049206
uc007stq.1	ENSMUST00000049206
uc007str.1	ENSMUST00000067296
uc011zhv.1	ENSMUST00000022450
uc007stu.2	ENSMUST00000022450
uc007stt.1	ENSMUST00000022450
uc007sty.1	ENSMUST00000112283
uc007stz.1	ENSMUST00000112283
uc007sua.1	ENSMUST00000090302
uc007sub.1	ENSMUST00000112283
uc007suc.1	ENSMUST00000100776
uc007sud.1	ENSMUST00000100776
uc007sue.1	ENSMUST00000079438
uc007suf.1	ENSMUST00000100777
uc007sug.1	ENSMUST00000063465
uc007suh.1	ENSMUST00000112272
uc007suk.2	ENSMUST00000055662
uc007suj.2	ENSMUST00000055662
uc007sul.1	ENSMUST00000112268
uc007sum.2	ENSMUST00000016115
uc007sup.2	ENSMUST00000067620
uc007suq.2	ENSMUST00000167454
uc007sur.2	ENSMUST00000167454
uc007suz.1	ENSMUST00000022535
uc007sva.1	ENSMUST00000022535
uc007svb.1	ENSMUST00000022535
uc007svc.1	ENSMUST00000022529
uc007svm.1	ENSMUST00000143534
uc007svn.1	ENSMUST00000064230
uc011zhy.1	ENSMUST00000064230
uc011zhz.1	ENSMUST00000064230
uc007svr.2	ENSMUST00000054230
uc007svp.2	ENSMUST00000054230
uc007svq.2	ENSMUST00000054230
uc007svt.2	ENSMUST00000006701
uc007svu.2	ENSMUST00000040715
uc007svw.2	ENSMUST00000006703
uc007svv.2	ENSMUST00000006703
uc007svx.2	ENSMUST00000006703
uc011zia.1	ENSMUST00000006703
uc007swa.1	ENSMUST00000050171
uc007swb.1	ENSMUST00000050171
uc007swc.1	ENSMUST00000050171
uc007swd.1	ENSMUST00000112124
uc007swf.2	ENSMUST00000168584
uc007swg.2	ENSMUST00000022476
uc007swh.2	ENSMUST00000022476
uc007swk.1	ENSMUST00000112095
uc007swl.1	ENSMUST00000112095
uc007swm.1	ENSMUST00000112095
uc007swn.1	ENSMUST00000112095
uc007swo.1	ENSMUST00000112080
uc007swp.1	ENSMUST00000112095
uc007swq.1	ENSMUST00000112095
uc007swt.1	ENSMUST00000090212
uc007sxd.1	ENSMUST00000022468
uc007sxe.1	ENSMUST00000090180
uc007sxh.1	ENSMUST00000022458
uc007sxm.1	ENSMUST00000022451
uc007sxn.1	ENSMUST00000143472
uc007sxt.2	ENSMUST00000022446
uc007sxy.2	ENSMUST00000090147
uc007syb.1	ENSMUST00000022460
uc011zij.1	ENSMUST00000022460
uc007syf.2	ENSMUST00000169078
uc007syg.2	ENSMUST00000022462
uc007syh.2	ENSMUST00000022462
uc007syi.2	ENSMUST00000022464
uc007syj.1	ENSMUST00000163336
uc007syk.1	ENSMUST00000163336
uc007syl.1	ENSMUST00000168334
uc007sym.1	ENSMUST00000168334
uc007syp.1	ENSMUST00000164137
uc007syq.1	ENSMUST00000163350
uc007syr.1	ENSMUST00000022470
uc007syo.2	ENSMUST00000164137
uc007syt.1	ENSMUST00000022480
uc011zik.1	ENSMUST00000022480
uc007szc.1	ENSMUST00000169705
uc007szd.1	ENSMUST00000066807
uc007sze.1	ENSMUST00000066807
uc011zin.1	ENSMUST00000165943
uc011zio.1	ENSMUST00000164468
uc007szf.1	ENSMUST00000068938
uc011zip.1	ENSMUST00000068938
uc007szh.1	ENSMUST00000039191
uc011ziq.1	ENSMUST00000104926
uc007szj.1	ENSMUST00000053175
uc011zir.1	ENSMUST00000120866
uc007szl.2	ENSMUST00000038956
uc007szm.2	ENSMUST00000052768
uc007szn.2	ENSMUST00000137590
uc007szo.2	ENSMUST00000111955
uc007szw.1	ENSMUST00000170917
uc007szx.1	ENSMUST00000022508
uc007szy.1	ENSMUST00000022508
uc007tab.1	ENSMUST00000168727
uc007tac.1	ENSMUST00000100720
uc007tad.1	ENSMUST00000035695
uc007taf.1	ENSMUST00000100719
uc007tah.1	ENSMUST00000058725
uc007tai.1	ENSMUST00000058725
uc007taj.1	ENSMUST00000022519
uc011zis.1	ENSMUST00000022519
uc007tal.2	ENSMUST00000147298
uc007tam.2	ENSMUST00000119693
uc007tan.2	ENSMUST00000035351
uc007tas.2	ENSMUST00000022322
uc011ziv.1	ENSMUST00000022322
uc007tav.1	ENSMUST00000111908
uc007tbi.1	ENSMUST00000048263
uc011zix.1	ENSMUST00000048263
uc007tbj.1	ENSMUST00000043349
uc011ziy.1	ENSMUST00000083547
uc007tbl.1	ENSMUST00000055320
uc011ziz.1	ENSMUST00000055320
uc011zja.1	ENSMUST00000055320
uc007tbr.2	ENSMUST00000120052
uc007tbs.1	ENSMUST00000057176
uc007tbt.1	ENSMUST00000057176
uc007tcl.2	ENSMUST00000022315
uc007tcm.1	ENSMUST00000047286
uc007tcn.1	ENSMUST00000170719
uc007tco.1	ENSMUST00000170719
uc007tcp.1	ENSMUST00000047095
uc007tcq.1	ENSMUST00000047095
uc007tcy.1	ENSMUST00000163912
uc007tdb.1	ENSMUST00000053965
uc007tdc.1	ENSMUST00000053965
uc007tdf.1	ENSMUST00000160298
uc011zjf.1	ENSMUST00000066719
uc011zjg.1	ENSMUST00000066719
uc007tdi.1	ENSMUST00000074839
uc011zjh.1	ENSMUST00000074839
uc007tdk.1	ENSMUST00000096899
uc007tes.1	ENSMUST00000127408
uc007tet.1	ENSMUST00000127408
uc007teu.1	ENSMUST00000127408
uc007tev.1	ENSMUST00000127408
uc007tew.1	ENSMUST00000127408
uc007tex.1	ENSMUST00000127408
uc007tey.1	ENSMUST00000127408
uc007tez.1	ENSMUST00000127408
uc007tfa.1	ENSMUST00000127408
uc007tfb.1	ENSMUST00000127408
uc007tfc.1	ENSMUST00000127408
uc007tfd.1	ENSMUST00000127408
uc007tfe.1	ENSMUST00000127408
uc007tff.1	ENSMUST00000127408
uc007tfg.1	ENSMUST00000127408
uc007tfh.1	ENSMUST00000127408
uc007tfi.1	ENSMUST00000127408
uc007tfj.1	ENSMUST00000127408
uc007tfk.1	ENSMUST00000127408
uc007tfl.1	ENSMUST00000127408
